transaction_id,seller_id,buyer_id,transaction_amount,item_category,transaction_date,seller_feedback_score,seller_account_age_days,num_transactions_last_7d,num_transactions_last_30d,dispute_rate,return_rate,num_policy_violations,buyer_feedback_given,login_hour,unique_items_listed,avg_item_price,is_fraud
TXN001964,S04023,B04749,144.34,Clothing,2024-04-21 19:33:00,85,1244,3,32,0.0364,0.1778,0,1,15,17,25.25,0
TXN008244,S01941,B08370,20.35,Electronics,2024-08-22 21:13:00,92,1129,5,13,0.0554,0.0379,0,0,14,32,118.41,0
TXN006591,S04046,B07554,51.57,Collectibles,2024-10-15 17:04:00,99,2634,2,28,0.0116,0.0251,0,1,13,22,21.12,0
TXN008848,S03977,B06423,108.4,Sports,2024-09-15 04:00:00,80,1057,2,6,0.0097,0.0515,0,1,11,20,222.17,0
TXN000322,S04582,B08863,159.13,Home,2024-12-20 07:19:00,88,410,2,10,0.0258,0.0003,0,1,8,7,98.88,0
TXN002679,S04052,B06104,30.2,Collectibles,2024-07-30 23:03:00,83,2432,2,7,0.0078,0.1389,0,1,10,20,98.02,0
TXN004626,S02528,B01984,41.7,Collectibles,2024-08-16 07:46:00,83,1876,3,37,0.0718,0.0576,0,1,9,27,175.87,0
TXN004950,S02572,B06951,107.4,Electronics,2024-08-27 23:51:00,86,369,8,24,0.0783,0.0026,0,1,18,26,74.04,0
TXN008329,S03665,B01156,92.07,Electronics,2024-05-07 06:59:00,97,3172,9,11,0.0968,0.0135,0,1,21,6,32.65,0
TXN003338,S04058,B06324,20.22,Sports,2024-10-17 16:30:00,81,3151,1,26,0.362,0.0107,0,1,11,41,191.08,0
TXN005590,S02772,B02330,71.01,Books,2024-01-12 09:17:00,83,1219,2,4,0.0018,0.2148,0,1,21,9,53.21,0
TXN000252,S04430,B08450,121.22,Clothing,2024-08-03 12:57:00,87,2476,3,34,0.0529,0.0743,0,1,21,42,66.25,0
TXN003974,S03492,B03462,35.16,Collectibles,2024-03-26 16:24:00,84,644,7,34,0.0024,0.014,0,1,13,9,43.0,0
TXN006631,S04838,B06273,54.27,Sports,2024-12-07 05:17:00,94,3379,2,39,0.0343,0.0646,0,1,12,13,59.91,0
TXN005548,S01979,B01852,17.29,Electronics,2024-04-20 13:03:00,89,2640,9,31,0.0322,0.1286,1,1,12,4,112.21,0
TXN000036,S03300,B02462,34.5,Electronics,2024-05-18 20:44:00,88,3465,8,7,0.0019,0.0151,0,1,10,10,19.64,0
TXN008363,S01929,B05485,67.53,Home,2024-03-04 11:39:00,93,2128,9,16,0.0079,0.0051,0,1,9,3,72.33,0
TXN001514,S03371,B07784,68.11,Sports,2024-04-05 08:17:00,85,2777,7,3,0.0212,0.055,2,0,13,21,129.15,0
TXN009318,S05433,B09024,909.98,Electronics,2024-08-30 21:23:00,37,87,67,66,0.4423,0.2742,0,0,0,102,46.52,1
TXN000040,S01474,B03378,30.05,Toys,2024-05-17 02:13:00,92,3566,3,35,0.1086,0.0594,0,0,12,28,24.44,0
TXN004820,S02909,B03431,50.63,Clothing,2024-07-13 01:59:00,81,1835,4,22,0.0212,0.047,0,1,11,13,26.86,0
TXN003466,S01392,B01667,113.3,Home,2024-01-27 10:59:00,91,3150,5,10,0.0294,0.0484,0,1,14,32,81.1,0
TXN001761,S04452,B07607,107.12,Electronics,2024-06-13 16:12:00,84,3089,3,4,0.0174,0.019,1,0,18,38,168.03,0
TXN002305,S04902,B02555,97.44,Toys,2024-05-13 04:19:00,93,356,4,7,0.1392,0.0806,0,1,13,24,26.34,0
TXN003724,S03634,B04914,16.14,Toys,2024-08-22 04:45:00,98,1848,8,29,0.0095,0.0219,0,1,15,41,17.48,0
TXN008285,S02098,B08849,26.73,Collectibles,2024-01-23 08:48:00,82,1318,9,37,0.0333,0.1391,0,1,12,48,24.62,0
TXN004994,S02680,B06192,53.61,Collectibles,2024-07-25 01:57:00,91,898,5,11,0.04,0.0105,0,1,18,31,37.18,0
TXN008128,S03298,B05772,19.23,Home,2024-12-17 11:06:00,99,3266,5,7,0.0038,0.0038,0,0,10,14,84.48,0
TXN003033,S02806,B07123,60.84,Electronics,2024-08-10 18:14:00,88,1021,8,9,0.0263,0.0801,0,1,22,12,57.75,0
TXN007939,S01558,B06635,42.86,Toys,2024-07-12 11:26:00,99,1906,8,9,0.034,0.0552,0,1,12,12,49.31,0
TXN003040,S03631,B03011,107.18,Electronics,2024-09-10 07:05:00,93,2541,3,3,0.0473,0.0421,0,1,21,20,12.92,0
TXN009656,S05406,B09767,20.05,Collectibles,2024-02-08 06:11:00,40,36,75,67,0.6848,0.4317,0,1,2,174,88.84,1
TXN002546,S02287,B01897,257.29,Electronics,2024-10-16 05:20:00,83,458,3,19,0.0008,0.0181,0,1,20,17,163.44,0
TXN002593,S03335,B04170,22.24,Clothing,2024-03-10 12:26:00,81,3122,5,19,0.0821,0.0678,0,1,19,36,28.41,0
TXN001189,S02836,B08592,34.25,Home,2024-10-13 07:36:00,85,3355,1,6,0.0082,0.0128,0,1,11,23,120.74,0
TXN007967,S03741,B04331,45.85,Toys,2024-07-27 05:55:00,85,3189,4,35,0.0631,0.1874,0,0,8,31,32.68,0
TXN006078,S04751,B04916,22.95,Clothing,2024-04-03 06:49:00,99,1670,8,20,0.0244,0.0033,0,1,18,46,36.85,0
TXN000108,S03317,B02583,32.24,Books,2024-10-08 03:03:00,84,3407,1,34,0.0005,0.015,0,1,14,31,24.69,0
TXN001316,S01228,B05150,110.33,Collectibles,2024-03-12 06:52:00,96,3455,1,33,0.0137,0.0026,0,1,13,16,29.54,0
TXN008188,S02644,B04281,77.69,Clothing,2024-01-14 04:59:00,98,2273,4,22,0.0555,0.0622,0,1,7,36,51.65,0
TXN002754,S01956,B03263,36.3,Clothing,2024-02-24 10:35:00,97,2505,3,13,0.1406,0.0181,0,1,8,4,51.07,0
TXN009754,S05298,B09741,169.13,Home,2024-01-12 17:00:00,57,50,69,167,0.5635,0.1259,2,0,5,204,213.3,1
TXN006232,S02837,B08126,59.34,Sports,2024-12-02 17:23:00,84,856,8,32,0.0137,0.0258,0,1,19,11,24.38,0
TXN002877,S02637,B04824,16.76,Toys,2024-04-09 16:21:00,94,2397,4,4,0.0315,0.0927,0,0,16,11,39.38,0
TXN005324,S01194,B06279,109.81,Collectibles,2024-11-06 12:30:00,98,1605,4,3,0.0331,0.0187,0,0,17,31,13.72,0
TXN000800,S04635,B02172,229.05,Home,2024-11-26 11:23:00,87,2568,6,7,0.0099,0.0873,0,1,15,28,53.41,0
TXN003571,S01651,B07138,92.0,Electronics,2024-07-26 21:47:00,83,1199,8,6,0.1013,0.0431,0,1,7,10,61.4,0
TXN002895,S04136,B08077,14.76,Toys,2024-08-27 21:59:00,96,578,6,15,0.0165,0.0953,0,1,9,6,15.07,0
TXN002928,S02947,B04513,170.66,Clothing,2024-06-23 02:53:00,87,2737,3,35,0.0014,0.0972,0,1,12,45,43.53,0
TXN008179,S04744,B05319,49.07,Clothing,2024-06-21 23:57:00,83,941,5,6,0.0309,0.0923,0,0,21,23,37.55,0
TXN000972,S04775,B07727,38.27,Toys,2024-02-24 10:18:00,98,1486,6,35,0.0764,0.0481,0,0,11,35,44.79,0
TXN006688,S04427,B08388,50.0,Collectibles,2024-11-15 00:47:00,81,1491,8,19,0.0185,0.0856,0,1,19,13,48.15,0
TXN008576,S03160,B05492,399.05,Electronics,2024-01-22 17:34:00,94,866,1,8,0.0296,0.0308,0,1,8,15,97.96,0
TXN002021,S03852,B05468,142.34,Clothing,2024-10-08 14:41:00,90,1770,3,26,0.0339,0.0353,0,1,7,22,45.03,0
TXN009055,S05353,B09398,773.9,Electronics,2024-06-19 17:35:00,3,9,48,124,0.7347,0.6315,0,0,2,190,58.44,1
TXN000953,S01357,B06351,40.57,Collectibles,2024-03-11 03:39:00,83,2265,2,37,0.0496,0.0018,0,1,16,6,75.08,0
TXN005360,S04096,B03162,125.04,Home,2024-11-14 13:55:00,89,2041,4,34,0.0734,0.0752,0,1,19,6,19.99,0
TXN003858,S04986,B06755,60.67,Toys,2024-05-20 06:54:00,80,422,1,22,0.0005,0.0993,0,0,13,35,51.46,0
TXN005862,S04277,B04496,19.78,Electronics,2024-12-11 09:49:00,83,3289,7,22,0.0246,0.1186,0,1,16,27,20.53,0
TXN003146,S01057,B06560,65.25,Toys,2024-04-20 23:56:00,85,1193,2,33,0.0371,0.004,0,1,19,1,103.57,0
TXN003306,S04463,B02711,101.57,Collectibles,2024-03-06 11:22:00,88,613,7,29,0.077,0.04,0,0,13,17,89.46,0
TXN003007,S01444,B07261,31.17,Electronics,2024-12-12 10:14:00,98,320,5,31,0.0896,0.0434,0,1,17,13,39.77,0
TXN009002,S05452,B09183,213.1,Home,2024-03-23 20:22:00,30,73,28,154,0.5944,0.2254,2,1,23,391,250.33,1
TXN007771,S01590,B06430,13.77,Electronics,2024-06-06 13:19:00,84,2224,2,27,0.0385,0.2198,0,1,13,35,70.84,0
TXN007439,S03745,B08175,176.08,Clothing,2024-09-11 18:13:00,90,543,4,7,0.0116,0.1495,0,1,9,11,85.3,0
TXN007943,S02409,B06254,32.88,Electronics,2024-12-10 21:56:00,81,2766,6,11,0.0468,0.0128,0,1,18,47,31.79,0
TXN009239,S05220,B09472,227.4,Electronics,2024-04-05 10:29:00,47,40,17,91,0.7199,0.5019,3,1,22,269,102.97,1
TXN001057,S01448,B08987,60.89,Toys,2024-06-13 07:19:00,80,2904,5,12,0.092,0.0222,0,1,22,17,355.21,0
TXN003155,S02232,B06990,23.7,Home,2024-07-11 02:00:00,87,595,6,34,0.0616,0.0581,0,1,12,2,142.03,0
TXN003788,S01405,B01192,63.24,Collectibles,2024-05-01 15:32:00,89,3202,5,6,0.0084,0.0339,0,0,10,46,28.29,0
TXN009190,S05092,B09118,80.8,Electronics,2024-08-16 05:07:00,17,53,40,132,0.2442,0.3874,4,0,3,412,87.13,1
TXN007826,S04382,B05557,49.58,Home,2024-07-31 03:35:00,80,3547,9,6,0.034,0.1425,0,0,14,48,120.56,0
TXN007540,S02938,B05250,104.46,Collectibles,2024-05-01 01:27:00,97,2700,2,28,0.0137,0.0619,0,1,9,16,32.66,0
TXN007232,S02874,B07796,45.72,Home,2024-03-28 08:32:00,92,842,5,27,0.0582,0.0749,0,1,11,15,40.18,0
TXN000765,S04261,B06853,52.96,Toys,2024-12-16 14:44:00,80,1343,7,16,0.0213,0.0905,0,0,13,46,50.38,0
TXN005020,S04701,B03423,30.99,Clothing,2024-06-12 04:48:00,98,1540,2,24,0.0334,0.2524,0,1,8,42,89.38,0
TXN004904,S03490,B07524,34.29,Electronics,2024-06-14 06:05:00,83,2247,3,34,0.0077,0.0052,0,1,19,27,68.82,0
TXN008094,S02734,B03898,85.81,Electronics,2024-12-14 16:00:00,94,1138,2,28,0.0066,0.0127,0,1,22,33,54.48,0
TXN006844,S03978,B01464,48.82,Clothing,2024-10-18 01:56:00,87,350,7,24,0.0212,0.0122,0,0,17,24,184.44,0
TXN002166,S01159,B04259,62.63,Toys,2024-03-30 20:31:00,90,2233,7,27,0.0173,0.032,0,1,18,24,182.38,0
TXN001863,S04028,B05867,124.89,Home,2024-10-12 17:00:00,94,1344,6,14,0.104,0.0363,0,1,18,44,29.81,0
TXN007851,S03268,B07971,55.78,Home,2024-05-10 01:44:00,82,1392,7,34,0.0136,0.1646,0,1,11,15,65.02,0
TXN009124,S05759,B09165,1314.26,Electronics,2024-12-24 12:59:00,16,35,77,187,0.3127,0.4682,3,0,23,105,581.06,1
TXN002341,S01947,B07396,81.53,Collectibles,2024-04-08 08:52:00,80,590,3,11,0.0081,0.0027,0,1,22,34,37.67,0
TXN005528,S04522,B08234,107.85,Toys,2024-12-18 08:39:00,92,2149,9,28,0.0196,0.0484,0,1,16,40,70.73,0
TXN006744,S03236,B08805,21.83,Electronics,2024-08-16 00:47:00,98,1905,7,24,0.1109,0.0371,0,1,17,25,69.38,0
TXN004004,S03657,B07053,176.65,Electronics,2024-03-01 02:23:00,97,497,8,31,0.0211,0.0234,0,1,19,17,58.93,0
TXN001124,S03947,B01098,63.6,Collectibles,2024-01-07 00:33:00,87,1062,6,21,0.0111,0.0269,0,1,14,25,126.1,0
TXN008710,S01293,B01619,155.78,Electronics,2024-09-20 02:45:00,85,519,5,12,0.0558,0.1044,0,1,10,20,83.93,0
TXN004050,S03675,B07464,109.49,Electronics,2024-12-03 16:04:00,85,3644,7,35,0.0039,0.1082,0,1,8,29,31.1,0
TXN007641,S02235,B03372,86.71,Electronics,2024-09-07 06:50:00,93,2558,3,3,0.1039,0.0818,0,1,9,10,103.46,0
TXN000766,S04807,B08540,45.05,Clothing,2024-09-02 20:11:00,90,1194,8,39,0.0133,0.1207,0,1,11,4,61.66,0
TXN002345,S01028,B05481,25.0,Clothing,2024-01-18 06:29:00,95,2771,7,19,0.0924,0.0144,0,0,7,34,80.92,0
TXN004072,S03274,B05811,79.83,Clothing,2024-11-09 05:26:00,82,353,4,39,0.0634,0.0536,0,1,12,31,259.03,0
TXN007217,S01498,B08424,35.44,Clothing,2024-02-04 07:55:00,90,1319,3,3,0.006,0.0725,0,1,10,6,73.12,0
TXN004217,S02337,B02465,58.3,Home,2024-05-13 19:29:00,86,1536,4,34,0.0248,0.0015,0,1,7,32,36.91,0
TXN007953,S04402,B06604,35.57,Electronics,2024-04-24 00:00:00,94,1968,6,31,0.0012,0.0102,0,1,18,24,45.59,0
TXN005971,S02518,B05184,79.73,Home,2024-02-05 00:47:00,85,1432,2,37,0.1101,0.0123,0,0,17,23,50.68,0
TXN003351,S02486,B05920,40.41,Home,2024-11-22 17:51:00,86,2704,8,18,0.0294,0.0125,0,1,18,6,42.33,0
TXN004696,S04759,B03969,12.89,Home,2024-09-26 18:49:00,99,2012,4,9,0.1662,0.0058,0,1,18,25,21.43,0
TXN003400,S03645,B02760,39.5,Clothing,2024-12-09 07:16:00,86,1659,5,16,0.0226,0.0693,0,1,17,40,29.05,0
TXN004082,S03756,B05480,20.31,Sports,2024-04-21 15:26:00,96,2306,4,15,0.0127,0.0432,0,1,19,20,135.71,0
TXN009150,S05755,B09684,62.62,Collectibles,2024-11-14 13:09:00,40,33,16,141,0.3898,0.2319,1,1,22,88,202.33,1
TXN001225,S03713,B03246,119.12,Clothing,2024-07-24 17:32:00,83,3131,3,11,0.0902,0.0774,0,1,20,11,80.56,0
TXN006293,S01288,B05255,50.3,Clothing,2024-01-01 02:16:00,93,963,2,36,0.0244,0.0009,0,1,12,32,36.81,0
TXN003123,S02914,B04793,36.04,Clothing,2024-10-20 21:09:00,85,3175,6,25,0.0304,0.0022,0,0,16,28,16.17,0
TXN000511,S04710,B06012,90.09,Sports,2024-07-14 20:23:00,92,3232,5,32,0.0017,0.1151,0,0,18,7,59.73,0
TXN005795,S01174,B03239,21.04,Electronics,2024-06-02 19:44:00,92,717,2,4,0.0328,0.0374,0,1,12,25,199.08,0
TXN008182,S02698,B07163,27.19,Toys,2024-10-28 13:23:00,95,404,6,26,0.0494,0.0143,0,1,14,1,82.8,0
TXN009418,S05925,B09550,244.71,Collectibles,2024-11-07 07:53:00,10,73,30,73,0.6345,0.3553,1,1,4,418,67.53,1
TXN000097,S04843,B01689,41.35,Collectibles,2024-07-27 06:06:00,93,1046,9,37,0.0083,0.0958,0,1,16,46,46.07,0
TXN006682,S04486,B07026,109.77,Electronics,2024-05-02 22:19:00,94,3036,7,18,0.026,0.0552,0,1,13,49,17.11,0
TXN001513,S03094,B07252,40.75,Toys,2024-03-29 11:13:00,84,829,8,28,0.0646,0.0501,1,1,11,24,13.46,0
TXN008792,S02985,B01620,57.47,Home,2024-01-01 14:34:00,85,3623,6,6,0.0125,0.0445,0,1,14,6,8.79,0
TXN000120,S03767,B02340,75.33,Electronics,2024-10-23 23:34:00,94,487,9,14,0.0406,0.0166,0,1,15,48,20.2,0
TXN007792,S02860,B02216,303.24,Sports,2024-02-25 11:15:00,98,2850,3,33,0.0805,0.1094,1,1,11,45,31.93,0
TXN006518,S03448,B07828,156.0,Books,2024-07-08 21:44:00,96,590,1,22,0.0736,0.0963,0,1,8,14,24.61,0
TXN000034,S04385,B04197,73.61,Home,2024-09-30 23:15:00,97,2297,2,5,0.0105,0.0093,0,0,8,10,52.74,0
TXN007888,S01617,B01292,39.29,Toys,2024-12-19 22:01:00,80,2266,5,39,0.0048,0.1673,0,1,12,12,12.73,0
TXN006831,S01975,B05408,67.35,Sports,2024-05-20 14:17:00,92,3299,2,35,0.0246,0.2004,1,1,11,47,25.39,0
TXN005422,S04294,B05711,259.57,Collectibles,2024-04-24 18:32:00,88,2434,1,15,0.1455,0.0355,0,1,21,22,79.5,0
TXN001069,S01437,B03971,274.89,Clothing,2024-10-02 15:15:00,86,1310,9,28,0.0368,0.082,0,0,16,2,48.4,0
TXN001348,S03883,B03526,19.66,Toys,2024-08-23 00:07:00,90,1476,4,9,0.0109,0.039,0,1,16,14,242.05,0
TXN004748,S01058,B04923,169.42,Home,2024-10-04 03:04:00,83,2744,9,28,0.0209,0.0589,0,1,21,38,40.91,0
TXN006006,S03642,B02038,92.66,Clothing,2024-12-21 04:09:00,88,380,8,39,0.0161,0.0831,0,1,15,44,21.09,0
TXN006040,S03093,B02100,142.99,Clothing,2024-11-29 07:14:00,99,746,5,39,0.0982,0.0087,0,1,8,23,76.74,0
TXN003818,S02019,B01513,78.51,Clothing,2024-12-15 10:40:00,94,1042,3,34,0.0044,0.0736,0,1,15,28,143.09,0
TXN008447,S04300,B02126,73.08,Clothing,2024-01-20 18:19:00,81,3206,3,10,0.1492,0.0119,0,1,18,44,137.21,0
TXN005270,S04227,B02584,111.49,Sports,2024-02-04 14:27:00,81,3302,4,34,0.0218,0.0189,0,0,21,35,113.72,0
TXN006898,S02319,B06097,21.45,Clothing,2024-04-27 18:56:00,94,1407,5,3,0.0189,0.0589,0,1,13,34,27.34,0
TXN005310,S01456,B08950,132.12,Electronics,2024-10-08 04:07:00,81,2528,3,26,0.1154,0.0328,0,1,14,30,49.43,0
TXN000032,S02184,B03181,138.14,Clothing,2024-12-15 20:04:00,81,2201,2,31,0.0459,0.01,0,1,19,45,9.24,0
TXN005675,S02380,B04574,36.28,Clothing,2024-01-01 10:04:00,98,2408,6,31,0.0069,0.0047,0,1,19,33,104.36,0
TXN004387,S02327,B06298,82.81,Toys,2024-12-24 00:25:00,83,418,3,18,0.0345,0.2557,0,1,17,26,61.99,0
TXN000030,S01955,B01913,13.75,Clothing,2024-06-30 06:42:00,83,542,4,22,0.0036,0.0485,0,1,7,40,62.15,0
TXN004203,S04348,B06128,69.16,Collectibles,2024-06-06 20:37:00,80,3633,3,6,0.0309,0.0048,0,1,8,23,43.61,0
TXN007508,S04288,B07999,167.21,Toys,2024-03-11 16:38:00,89,1262,7,17,0.0016,0.0951,0,0,20,2,24.03,0
TXN000736,S04974,B07273,18.59,Clothing,2024-03-12 22:30:00,82,1920,9,21,0.1134,0.0313,0,1,19,22,16.21,0
TXN002068,S01696,B02601,58.54,Clothing,2024-04-29 01:42:00,89,717,4,22,0.1265,0.0208,0,1,15,18,24.39,0
TXN000107,S01995,B02412,17.83,Home,2024-05-07 02:28:00,90,3480,8,17,0.0191,0.0248,0,1,10,42,42.8,0
TXN009645,S05700,B09010,450.36,Electronics,2024-09-11 14:40:00,43,81,68,71,0.4049,0.3112,2,0,4,435,156.79,1
TXN008895,S02092,B05370,33.83,Electronics,2024-02-15 19:50:00,87,720,1,7,0.0861,0.0695,0,1,16,21,52.94,0
TXN008021,S04747,B01116,38.39,Electronics,2024-10-28 17:52:00,84,2537,7,7,0.044,0.05,0,1,19,16,89.32,0
TXN002233,S02312,B07073,15.08,Electronics,2024-10-07 08:15:00,93,235,4,27,0.052,0.0075,0,0,9,36,44.87,0
TXN000994,S02838,B05836,30.04,Sports,2024-08-26 09:10:00,84,638,7,21,0.0325,0.0197,0,1,18,4,30.35,0
TXN009413,S05965,B09328,133.79,Collectibles,2024-04-23 09:45:00,4,80,63,136,0.4482,0.4909,4,0,1,219,193.05,1
TXN007059,S01071,B01545,43.78,Clothing,2024-05-14 15:04:00,98,3535,9,34,0.0061,0.2758,2,1,10,5,116.75,0
TXN006790,S02319,B04631,78.49,Toys,2024-05-06 06:20:00,86,1911,8,33,0.0251,0.0083,0,0,21,39,91.75,0
TXN000361,S01262,B03159,56.48,Collectibles,2024-03-21 07:11:00,92,2308,5,17,0.0436,0.094,0,0,12,17,41.25,0
TXN000305,S02439,B01192,9.11,Electronics,2024-05-05 02:17:00,99,1065,2,18,0.0288,0.2127,0,1,9,19,35.2,0
TXN002628,S03779,B05601,84.62,Home,2024-06-27 01:09:00,82,2677,3,5,0.0379,0.0183,0,1,20,29,17.32,0
TXN008966,S01731,B04247,89.14,Clothing,2024-02-03 01:00:00,99,2780,7,8,0.0759,0.031,0,0,11,8,40.01,0
TXN004514,S01396,B03987,48.73,Clothing,2024-04-07 09:02:00,80,3327,6,37,0.174,0.0991,0,1,15,14,174.87,0
TXN005911,S03438,B02677,25.96,Toys,2024-06-26 14:09:00,93,358,1,18,0.0078,0.0066,0,1,21,25,93.88,0
TXN008314,S01347,B07905,384.08,Toys,2024-11-20 04:46:00,84,280,4,17,0.0076,0.152,0,0,15,5,126.1,0
TXN003101,S01998,B01320,103.43,Home,2024-05-13 07:30:00,99,1451,7,23,0.005,0.0632,0,1,18,32,66.36,0
TXN005704,S01868,B06873,80.51,Clothing,2024-11-24 15:25:00,93,996,1,9,0.089,0.0605,0,1,11,45,42.68,0
TXN003899,S03772,B05833,31.48,Toys,2024-01-06 14:24:00,83,2982,8,37,0.0359,0.0076,0,1,10,20,20.91,0
TXN005441,S02691,B05092,98.77,Clothing,2024-07-27 21:37:00,92,1675,9,34,0.0294,0.0029,0,1,7,18,16.29,0
TXN007931,S01305,B05630,29.78,Clothing,2024-12-05 03:09:00,96,405,8,34,0.0252,0.1092,0,1,7,36,39.17,0
TXN000622,S02119,B08131,48.33,Clothing,2024-05-10 09:20:00,89,2767,4,14,0.0122,0.0634,0,1,14,4,59.06,0
TXN007236,S01272,B03169,59.54,Electronics,2024-03-20 04:15:00,93,2857,2,35,0.0278,0.0396,0,1,12,19,276.36,0
TXN002499,S02109,B04969,63.47,Clothing,2024-02-26 09:28:00,96,2626,9,22,0.0996,0.1049,0,0,12,22,19.18,0
TXN000714,S01284,B04661,43.01,Clothing,2024-12-13 18:28:00,85,1711,9,32,0.0028,0.0174,0,0,16,47,19.05,0
TXN008404,S01303,B01281,51.75,Electronics,2024-09-17 01:26:00,95,2817,2,8,0.0642,0.016,0,0,16,2,33.26,0
TXN002856,S02009,B05439,52.97,Toys,2024-11-22 05:13:00,93,3195,8,5,0.0276,0.048,0,1,8,45,40.38,0
TXN004270,S01459,B05428,67.78,Books,2024-03-03 16:17:00,96,2929,3,13,0.012,0.0822,0,0,11,3,104.27,0
TXN002909,S02963,B01236,29.51,Electronics,2024-08-14 22:16:00,84,2423,8,17,0.0245,0.0439,0,0,9,41,35.53,0
TXN008081,S02778,B02665,30.09,Clothing,2024-10-03 21:11:00,86,667,7,18,0.0131,0.0463,0,0,9,23,23.12,0
TXN004517,S02517,B03260,135.24,Sports,2024-12-07 06:30:00,97,279,8,34,0.0162,0.1492,0,1,14,18,16.71,0
TXN001262,S02603,B08536,124.62,Clothing,2024-01-15 23:39:00,83,2403,4,34,0.0181,0.1513,0,1,11,40,20.23,0
TXN003161,S04335,B05581,70.38,Toys,2024-10-10 15:02:00,86,2627,9,16,0.0134,0.0419,0,1,10,35,37.34,0
TXN000971,S01739,B03135,31.58,Electronics,2024-06-01 18:38:00,81,3450,6,33,0.1432,0.0307,0,0,15,32,59.37,0
TXN003913,S01905,B03296,109.8,Clothing,2024-01-23 01:08:00,90,509,5,14,0.014,0.0557,0,1,13,45,20.04,0
TXN005199,S03016,B07131,153.58,Toys,2024-12-02 19:07:00,83,435,8,21,0.0188,0.0887,0,1,8,15,184.64,0
